year,month,hour,weekday,crashes,fatal,serious
2023,2,2,4,5,0,2
2023,2,2,5,6,0,0
2023,2,2,6,9,0,2
2023,2,2,7,28,2,4
2023,2,3,1,26,1,7
2023,2,3,2,7,0,2
2023,2,3,3,7,0,3
2023,2,3,4,5,0,1
2023,2,3,5,8,0,2
2023,2,3,6,8,0,3
2023,2,3,7,20,0,7
2023,2,4,1,32,0,6
2023,2,4,2,15,0,3
2023,2,4,3,16,0,4
2023,2,4,4,12,0,0
2023,2,4,5,10,0,1
2023,2,4,6,13,0,2
2023,2,4,7,21,0,3
2023,2,5,1,33,1,8
2023,2,5,2,59,0,8
2023,2,5,3,47,0,9
2023,2,5,4,42,0,6
2023,2,5,5,53,2,9
2023,2,5,6,46,0,9
2023,2,5,7,36,0,8
2023,2,6,1,13,0,4
2023,2,6,2,108,0,21
2023,2,6,3,112,1,12
2023,2,6,4,113,1,12
2023,2,6,5,126,0,24
2023,2,6,6,107,0,20
2023,2,6,7,35,0,5
2023,2,7,1,24,1,6
2023,2,7,2,238,0,31
2023,2,7,3,246,0,30
2023,2,7,4,226,0,25
2023,2,7,5,259,1,28
2023,2,7,6,155,1,18
2023,2,7,7,28,1,7
2023,2,8,1,22,1,8
2023,2,8,2,151,1,17
2023,2,8,3,175,2,22
2023,2,8,4,166,0,24
2023,2,8,5,168,0,29
2023,2,8,6,118,1,16
2023,2,8,7,46,1,8
2023,2,9,1,31,1,5
2023,2,9,2,124,3,14
2023,2,9,3,160,1,15
2023,2,9,4,126,1,31
2023,2,9,5,131,0,20
2023,2,9,6,107,3,16
2023,2,9,7,77,1,10
2023,2,10,1,48,1,8
2023,2,10,2,110,0,13
2023,2,10,3,144,0,18
2023,2,10,4,122,1,22
2023,2,10,5,123,0,16
2023,2,10,6,111,2,18
2023,2,10,7,106,2,17
2023,2,11,1,48,0,9
2023,2,11,2,130,4,24
2023,2,11,3,153,3,24
2023,2,11,4,122,1,21
2023,2,11,5,151,3,18
2023,2,11,6,153,2,16
2023,2,11,7,118,0,10
2023,2,12,1,67,1,10
2023,2,12,2,135,0,25
2023,2,12,3,152,1,19
2023,2,12,4,153,3,18
2023,2,12,5,131,1,16
2023,2,12,6,200,2,25
2023,2,12,7,133,0,18
2023,2,13,1,87,2,15
2023,2,13,2,159,4,18
2023,2,13,3,183,2,17
2023,2,13,4,178,2,24
2023,2,13,5,180,2,25
2023,2,13,6,204,0,27
2023,2,13,7,133,3,16
2023,2,14,1,84,2,11
2023,2,14,2,177,3,25
2023,2,14,3,233,2,35
2023,2,14,4,191,1,30
2023,2,14,5,180,1,25
2023,2,14,6,190,1,26
2023,2,14,7,140,0,18
2023,2,15,1,94,1,19
2023,2,15,2,226,0,37
2023,2,15,3,241,4,36
2023,2,15,4,226,1,29
2023,2,15,5,204,2,23
2023,2,15,6,191,1,29
2023,2,15,7,103,1,13
2023,2,16,1,101,0,21
2023,2,16,2,185,2,27
2023,2,16,3,276,2,31
2023,2,16,4,195,0,34
2023,2,16,5,192,0,29
2023,2,16,6,148,2,17
2023,2,16,7,111,2,21
2023,2,17,1,86,2,20
2023,2,17,2,169,1,23
2023,2,17,3,177,0,25
2023,2,17,4,159,1,21
2023,2,17,5,190,1,23
2023,2,17,6,144,3,17
2023,2,17,7,106,1,22
2023,2,18,1,94,2,12
2023,2,18,2,133,2,21
2023,2,18,3,173,4,28
2023,2,18,4,163,0,24
2023,2,18,5,159,0,19
2023,2,18,6,166,1,20
2023,2,18,7,126,2,10
2023,2,19,1,63,0,11
2023,2,19,2,80,1,12
2023,2,19,3,114,0,17
2023,2,19,4,112,1,14
2023,2,19,5,108,1,22
2023,2,19,6,121,2,20
2023,2,19,7,88,1,18
2023,2,20,1,63,1,9
2023,2,20,2,57,0,7
2023,2,20,3,55,0,12
2023,2,20,4,58,1,7
2023,2,20,5,57,0,6
2023,2,20,6,81,0,10
2023,2,20,7,70,0,10
2023,2,21,1,33,0,4
2023,2,21,2,41,0,2
2023,2,21,3,44,0,7
2023,2,21,4,49,0,11
2023,2,21,5,55,2,7
2023,2,21,6,55,2,13
2023,2,21,7,62,0,4
2023,2,22,1,38,0,7
2023,2,22,2,21,1,2
2023,2,22,3,31,0,7
2023,2,22,4,35,1,4
2023,2,22,5,46,0,12
2023,2,22,6,51,0,6
2023,2,22,7,48,1,15
2023,2,23,1,14,1,3
2023,2,23,2,21,0,6
2023,2,23,3,20,0,2
2023,2,23,4,14,1,3
2023,2,23,5,31,1,5
2023,2,23,6,56,2,14
2023,2,23,7,40,1,7
2023,3,0,1,34,1,8
2023,3,0,2,8,1,1
2023,3,0,3,8,0,2
2023,3,0,4,22,0,4
2023,3,0,5,20,0,3
2023,3,0,6,23,0,7
2023,3,0,7,46,2,6
2023,3,1,1,34,1,5
2023,3,1,2,9,0,3
2023,3,1,3,10,0,4
2023,3,1,4,15,1,5
2023,3,1,5,7,0,2
2023,3,1,6,9,1,0
2023,3,1,7,33,2,5
2023,3,2,1,27,0,5
2023,3,2,2,5,0,1
2023,3,2,3,8,0,2
2023,3,2,4,10,1,3
2023,3,2,5,11,0,1
2023,3,2,6,9,0,3
2023,3,2,7,25,1,7
2023,3,3,1,47,1,10
2023,3,3,2,2,0,0
2023,3,3,3,8,0,1
2023,3,3,4,9,0,0
2023,3,3,5,13,0,3
2023,3,3,6,10,0,2
2023,3,3,7,23,0,8
2023,3,4,1,26,1,8
2023,3,4,2,9,0,3
2023,3,4,3,17,0,5
2023,3,4,4,28,0,6
2023,3,4,5,14,1,1
2023,3,4,6,13,0,2
2023,3,4,7,12,0,2
2023,3,5,1,44,1,10
2023,3,5,2,64,1,6
2023,3,5,3,56,0,7
2023,3,5,4,79,0,10
2023,3,5,5,79,1,12
2023,3,5,6,61,0,9
2023,3,5,7,23,0,3
2023,3,6,1,20,1,5
2023,3,6,2,100,0,20
